NOMBRE DE SERVICIO TURÍSTICO;IDENTIFICADOR DE CLASIFICACIÓN;CLASIFICACIÓN;IDENTIFICADOR DE CATEGORÍA;CATEGORÍA;IDENTIFICADOR DE SUBCATEGORÍA;SUBCATEGORÍA;DIRECCIÓN;CORREO ELECTRÓNICO;SITIO WEB;TELÉFONO;CÓDIGO DE DEPARTAMENTO;CÓDIGO DE PROVINCIA;CÓDIGO DE DISTRITO;NOMBRE DE DEPARTAMENTO;NOMBRE DE PROVINCIA;NOMBRE DE DISTRITO;RUC;SIGLAS;NOMBRE DE EMPRESA;FECHA DE REGISTRO DE EMPRESA;FECHA ACTUALIZACIÓN DATOS DE EMPRESA
TRC Express;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Jesús de Nazareth 1890, Urb. Covicorti;;www.trcexpress.com;044 612111;13;1;1;La Libertad;Trujillo;Trujillo;20481960127;TRC Express;TRC Express S.A.C;28/08/2014;22/01/2025
TRC Express;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Miguel Grau 1645  ;reservas_chiclayo@trcexpress.com;www.trcexpress.com; 074 612 103;14;1;6;Lambayeque;Chiclayo;La Victoria;20481960127;TRC Express;TRC Express S.A.C;28/08/2014;22/01/2025
TRC Express;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Atahualpa 496/498;reservas_cajamarca@trcexpress.com    reservas_cajamarca@trcexpress.com;www.trcexpress.com;960400785;6;1;1;Cajamarca;Cajamarca;Cajamarca;20481960127;TRC Express;TRC Express S.A.C;28/08/2014;22/01/2025
Punta Pariñas;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;"Av. Grau Mz. ""A"" Lt 2A";hpptalara@hotmail.com;www.hotelpuntaparinastalara.com;073 498795;20;7;1;Piura;Talara;Pariñas;20526123141;Punta Pariñas;Inversiones Punta Pariñas S.A.C.;3/09/2014;4/01/2025
Sol de Grau;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Cl. Junín 772;reservas.hotelsoldegrau@hotmail.com;www.hostalsoldegrau.com;073 332864;20;1;1;Piura;Piura;Piura;20526531699;Sol de Grau;Carrasco y Seminario Servicios Turísticos S.A.C;9/10/2014;3/01/2025
El Ronco 294;2202;ALIMENTOS Y BEBIDAS;220203;Restaurantes Pescados & Mariscos;220203;Restaurantes Pescados & Mariscos;Av. Victor Raúl Haya de la Torre 294, Urb. Bata;elrincondelronco@hotmail.com; ;01  4980407 ;7;1;4;Callao;Callao;La Perla;20518675304;El Ronco 294;El Rincón del Ronco S.A.C.;17/10/2014;5/01/2025
El Ronco 294;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Av. Victor Raúl Haya de la Torre 294, Urb. Bata;elrincondelronco@hotmail.com; ;51 945258744;7;1;4;Callao;Callao;La Perla;20518675304;El Ronco 294;El Rincón del Ronco S.A.C.;17/10/2014;5/01/2025
Arennas Máncora;2202;ALIMENTOS Y BEBIDAS;220201;Restaurantes comida Internacional;220201;Restaurantes comida Internacional;Antigua Panamericana Norte Km. 1213; reservashoteles@losportales.com.pe;www.arennasmancora.com; 073 283800 ;20;7;6;Piura;Talara;Máncora;20102434596;Arennas Máncora;Inversiones Costa Norte S.A;22/10/2014;4/01/2025
DOM Hotel;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Cl. Santa María 243 Mz G Lt 6. Urb. Santa Isabel;reservas@domhotel.com.pe;www.domhotel.com.pe; 073 542697 ;20;1;1;Piura;Piura;Piura;20530312691;DOM Hotel;Inversiones y Negocios Santa Isabel S.R.L.;26/11/2014;3/01/2025
Hotel Gran Palma;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Av. Luis Montero 307 - 315, Distrito de Miraflores;reservas@hotelgranpalma.com;www.hotelgranpalma.com; 073 342966 ;20;1;4;Piura;Piura;Castilla;20523880749;Hotel Gran Palma;Hotel Gran Palma;10/12/2014;4/01/2025
Picantería El Rinconcito Cataquense;2202;ALIMENTOS Y BEBIDAS;220218;Picanterías;220218;Picanterías;Jr. Zepita 726 ( a 1 cdra. de la cía. de bomberos);elrinconcitocataquense1978@gmail.com; ;947224364;20;1;5;Piura;Piura;Catacaos;20609841088;Picantería El Rinconcito Cataquense;Negocios y Servicios Gastronómicos El Rinconcito Cataquense Sociedad Anónima Cerrada;30/01/2015;6/01/2025
Hotel Fundo San Rafael;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Carretera Panamericana Sur Km 449 - Pangaraví;fundosanrafael.hotel@gmail.com;www.fundosanrafael.pe;966951066;11;3;5;Ica;Nasca;Vista Alegre;20534385472;Hotel Fundo San Rafael;Alfaro Rafael S.A.C.;9/06/2015;17/01/2025
Colibri;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010301;Hs.3 Estrellas;Av. Jose Balta 010 Int. A - Urb. Santa Victoria;hostalcolibri@gmail.com;www.hotelcolibriperu.com;948 331 297;14;1;1;Lambayeque;Chiclayo;Chiclayo;20487475158;Colibri;Inversiones Goimar S.A.C.;10/06/2015;20/01/2025
Latventure Perú;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Los Lirios 188, Urb. Santa María D-1; latventureperu@gmail.com     elizabeth.ccanahuire@latventure.com     info@latventure.com;www.latventure.com;958953249;8;1;5;Cusco;Cusco;San Sebastián;20490002350;Latventure Perú;Latventure Perú S.A.C.;12/06/2015;23/01/2025
Tierra Biru Viajes E.I.R.L;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Mariano Santos G-5, Urb. Los Licenciados (Exclusivamente Digital);info@tierrabiruexpeditions.com     tierrabiru@gmail.com;www.tierrabiruexpeditions.com;989606814;8;1;5;Cusco;Cusco;San Sebastián;20601304253;Tierra Biru Viajes E.I.R.L;Tierra Biru Viajes E.I.R.L;16/06/2015;21/01/2025
Origen Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Calle Jerusalen 128, oficina 305;origentours@gmail.com;www.origentours.com;951210963;4;1;1;Arequipa;Arequipa;Arequipa;20600316673;Origen Tours;Origen Tours E.I.R.L.;17/06/2015;29/01/2025
Origen Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Triunfo 392 Ofi. 2019;info@origentours.com     origentours@gmail.com;www.origentours.com;951210963;8;1;1;Cusco;Cusco;Cusco;20600316673;Origen Tours;Origen Tours E.I.R.L.;17/06/2015;29/01/2025
Suche Park Hotel;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Urb. Club Grau Av. Los Cocos Nro. 472 Mza. N Lote 8;reservas@sucheparkhotel.com;www.sucheparkhotel.com;073 613439 ;20;1;1;Piura;Piura;Piura;20526539916;Suche Park Hotel;Inversiones Turisticas Bys S.A.C.;23/06/2015;3/01/2025
Sechurarutas Turismo & Aventura;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Calle Alcantara Navarro 500;sechurarutas@gmail.com     informes@sechurarutas.com;www.sechurarutas.com;953 335 351;20;8;1;Piura;Sechura;Sechura;10407278254;Sechurarutas Turismo & Aventura;Vice Silva Carlos Alberto;17/07/2015;4/01/2025
Aeropuerto Alférez FAP. David Figueroa Fernandini;2203;TRANSPORTE;220307;Terminales;22030701;Aeropuertos;Carretera Huánuco - Aeropuerto km 6; ;http://www.corpac.gob.pe/;062 513066 ;10;1;1;Huánuco;Huánuco;Huánuco;20100004675;Aeropuerto Alférez FAP. David Figueroa Fernandini;Corporación Peruana de Aeropuertos y Aviación Comercial SA;14/09/2015;17/01/2025
C & D tours ;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Sánchez Cerro 1127 Urb. Club Grau;cdtours@outlook.com.pe;www.cdtoursperu.com;942442948;20;1;1;Piura;Piura;Piura;20530325327;C & D tours ;Agencia de viajes y turismo C&D tours EIRL;13/10/2015;4/01/2025
X-Treme Tourbulencia;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Plateros 364;info@x-tremetourbulencia.com     reserve@x-tremetourbulencia.com;www.x-tremetourbulencia.com;084 224362;8;1;1;Cusco;Cusco;Cusco;20490591169;X-Treme Tourbulencia;Aventuras X-Treme Tourbulencia en Cusco E.I.R.L.;31/12/2015;29/01/2025
Pirhua Tour;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Corpac  208;pirhuatour@hotmail.com;www.pirhuatours.com;073 217082;20;1;4;Piura;Piura;Castilla;20526198230;Pirhua Tour;HTG Peruvian Center E.I.R.L.;8/03/2016;4/01/2025
Pirhua Tour;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Jr. Ayacucho 307;pirhuatour@hotmail.com ;www.pirhuatours.com;073 217082;20;1;1;Piura;Piura;Piura;20526198230;Pirhua Tour;HTG Peruvian Center E.I.R.L.;8/03/2016;4/01/2025
Hierba Buena Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Urb. Aprovite A-16;reservas@hierbabuena.tours;www.hierbabuena.tours;984763998;8;1;4;Cusco;Cusco;San Jerónimo;20601132991;Hierba Buena Tours;Hierba Buena Servicios Turísticos E.I.R.L;19/09/2016;21/01/2025
Aeropuerto Tingo María;2203;TRANSPORTE;220307;Terminales;22030701;Aeropuertos;Av. Cap. Fap. José A. Quiñones S/N; ;http://www.corpac.gob.pe/;978471736;10;6;1;Huánuco;Leoncio Prado;Rupa Rupa;20100004675;Aeropuerto Tingo María;Corporación Peruana de Aeropuertos y Aviación Comercial SA ;15/11/2016;17/01/2025
Apart Hotel Supersuite ;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Jr. Casuarinas 309  - Urbanización La Caleta ;hotelsupersuitechimbote@gmail.com; https://hotelsupersuite.com/; 043  609347 ;2;18;1;Áncash;Santa;Chimbote;20569324701;Apart Hotel Supersuite ;Zeles E.I.R.L.;1/12/2016;7/01/2025
Oceánica Expeditions Perú;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Los Próceres 178;reservas@oceanica.pe;www.oceanica.pe;987362446;20;7;5;Piura;Talara;Los Órganos;20602106331;Oceánica Expeditions Perú;Océanica Expeditions Perú S.A.C.;14/02/2017;4/01/2025
Reservas Machupicchu Perú;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Pje. Construcción Civil K-17;reservasmachupicchuperu@gmail.com;www.reservasmachupicchuperu.com;984714374;8;1;6;Cusco;Cusco;Santiago;20600824229;Reservas Machupicchu Perú;Reservas Machupicchu Perú E.I.R.L;5/04/2017;27/01/2025
Mako's Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Triunfo M-8, Residencial Huancaro;reservas@makostours.com;www.makostours.com;984708593;8;1;6;Cusco;Cusco;Santiago;20491238179;Mako's Tours;Inversiones Mako's S.R.L;22/06/2017;21/01/2025
Personal Travel Experience;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Fierro 546;reservations@shareinperu.com;www.shareinperu.com; 084 227239 ;8;1;1;Cusco;Cusco;Cusco;20490162551;Personal Travel Experience;Personal Travel Experience S.A.C.;26/07/2017;24/01/2025
Atlantis Club Zoo- Park;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Km. 5 Carretera Piura - Chulucanas;atlantisclubpiura@hotmail.com;;965958456;20;1;4;Piura;Piura;Castilla;20525738583;Atlantis Club Zoo- Park;Atlantis Club Zoo Park E.I.R.L.;14/05/2018;6/01/2025
Long Horn ;2202;ALIMENTOS Y BEBIDAS;220205;Restaurantes de Carnes y Parrillas;220205;Restaurantes de Carnes y Parrillas;Av. Sánchez Cerro 234 (C.C Real Plaza);admi.piura@longhorn.com.pe;www.longhorn.com.pe ;073 306086;20;1;1;Piura;Piura;Piura;20554742573;Long Horn ;L.H. Piura S.A.C.;14/05/2018;6/01/2025
Long Horn ;2202;ALIMENTOS Y BEBIDAS;220201;Restaurantes comida Internacional;220201;Restaurantes comida Internacional;Av. Sánchez Cerro 234 (C.C Real Plaza);admi.piura@longhorn.com.pe;www.longhorn.com.pe ;073 306086;20;1;1;Piura;Piura;Piura;20554742573;Long Horn ;L.H. Piura S.A.C.;14/05/2018;6/01/2025
Inti Paradise ;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Marquez 259, Of. 13 ;info@intiparadise.com     mcchavez1390@gmail.com;www.intiparadise.com;972250074;8;1;1;Cusco;Cusco;Cusco;20605809783;Inti Paradise ;Inti Paradise Agencia de Viajes y Turismo S.R.L;2/07/2018;3/01/2025
Estancia Real;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Jr. Callao N°446;hotelestanciarealpiura@gmail.com;www.estanciarealpiura.com;073 617329;20;1;1;Piura;Piura;Piura;20602208754;Estancia Real;Caribean Hotel S.A.C.;23/07/2018;3/01/2025
Hotel Costa del Inka;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas; Av. Anchoveta MZ W2 Lt 24 - 25 Urb. Miguel Grau;costadelinka@gmail.com; ; 043 319657;2;18;9;Áncash;Santa;Nuevo Chimbote;20548452431;Hotel Costa del Inka;Costas del Inca S.R.L.;28/08/2018;7/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Libertad Mz. FA Lote 23; ;www.movilbus.pe;945160648;2;8;1;Áncash;Casma;Casma;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Jr. Áncash 599 / Chavín: Av. Julio César Tello S/n, Ref: Costado del Centro de Salud; ;www.movilbus.pe;938671082;2;10;1;Áncash;Huari;Huari;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Confraternidad Internacional Oeste 451; ;www.movilbus.pe;943749212;2;1;5;Áncash;Huaraz;Independencia;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal terrestre - Jr. Loechle con Jr. Müller, Stand 9 1er piso;info@movilgroup.pe;www.movilbus.pe;01  7168000;19;3;1;Pasco;Oxapampa;Oxapampa;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Los Girasoles 570 Urb. Miraflores;info@movilgroup.pe;www.movilbus.pe;01  7168000;19;3;7;Pasco;Oxapampa;Villa Rica;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Nicolás Arriola 780;    ;www.movilbus.pe;01  7168000;15;1;15;Lima;Lima;La Victoria;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Tomás Valle 651;   ;www.movilbus.pe;01  7168000;15;1;35;Lima;Lima;San Martín de Porres;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Parque Ramón Castilla 215; ;www.movilbus.pe;01 716 8000;10;6;1;Huánuco;Leoncio Prado;Rupa Rupa;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Terminal El Chimbador-Oficina 29; ;www.movilbus.pe; ;2;18;1;Áncash;Santa;Chimbote;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av Loreto 1465 ; ;www.movilbus.pe; 073 357083;20;1;1;Piura;Piura;Piura;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Prolongación Sánchez Cerro S/N, Lote 9, Zona Industrial 2, Stand 9; ;www.movilbus.pe;989 306 834;20;1;1;Piura;Piura;Piura;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Jr. Manco Cápac 331/Terminal Municipal; ;www.movilbus.pe;956383670;5;1;1;Ayacucho;Huamanga;Ayacucho;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av.Mesones Muro 800; ;www.movilbus.pe; ;6;8;1;Cajamarca;Jaén;Jaén;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Parque Ramón Castilla 205; ;www.movilbus.pe; ;10;6;1;Huánuco;Leoncio Prado;Rupa Rupa;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Ferrocarril 151;admhuancayo@mobilbus.pe;www.movilbus.pe;982287769;12;1;1;Junín;Huancayo;Huancayo;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Movil Bus;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Gardenias Mz. B Lt. 8 (Frente al Aeropuerto);adminpucallpa@movilbus.pe;www.movilbus.pe;980605753;25;1;5;Ucayali;Coronel Portillo;Yarinacocha;20555901179;Movil Bus;Movil Bus S.A.C;20/09/2018;4/01/2025
Piura Trips;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Grau 1800 Interior A-1 Villa California ; informes@piuratrips.com;www.piuratrips.com;951411377;20;1;4;Piura;Piura;Castilla;20603077947;Piura Trips;Piura Trips E.I.R.L.;13/02/2019;4/01/2025
Buena Vista Lobitos;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Frente a la Av. B de la Nueva Ciudad de Lobitos I Etapa ;buenavistalobitos@gmail.com;  www.buenavistalobitos.com;994 175 185 ;20;7;4;Piura;Talara;Lobitos;10078213375;Buena Vista Lobitos;Correa Dubois Augusto Jose Hilarion;17/07/2019;4/01/2025
Destinos Tu Mundo;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Champagnat 1216; info@destinostumundo.com     reservas@destinostumundo.com;www.destinostumundo.com;073 252484;20;6;1;Piura;Sullana;Sullana;20554991875;Destinos Tu Mundo;Destinos Tu Mundo E.I.R.L.;3/09/2019;4/01/2025
Marakos Grill;2202;ALIMENTOS Y BEBIDAS;220205;Restaurantes de Carnes y Parrillas;220205;Restaurantes de Carnes y Parrillas;Av. Santa Victoria 470;marakos.grill.ovalo@gmail.com;www.marakos.pe;961 845 986;14;1;1;Lambayeque;Chiclayo;Chiclayo;20601799317;Marakos Grill;Marakos Grill Concesiones E.I.R.L.;6/09/2019;20/01/2025
Marakos Grill;2202;ALIMENTOS Y BEBIDAS;220212;Restaurante 3 Tenedores;220212;Restaurante 3 Tenedores;Av. Santa Victoria 470;marakos.grill.ovalo@gmail.com;www.marakos.pe;961 845 986;14;1;1;Lambayeque;Chiclayo;Chiclayo;20601799317;Marakos Grill;Marakos Grill Concesiones E.I.R.L.;6/09/2019;20/01/2025
María;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Av. Cabo Alberto Reyes 237; hotel.maria.huarmey@gmail.com     espiritut@gmail.com;  ;990189516;2;11;1;Áncash;Huarmey;Huarmey;10085509883;María;Imelda Gladys Gamarra Farromeque;12/09/2019;3/01/2025
Cordialidad;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Av. Cabo Alberto Reyes  258;reservas@cordialidadhotel.com; ;959417817;2;11;1;Áncash;Huarmey;Huarmey;10321222094;Cordialidad;Huerta Poma de Miranda IrmaTeresa;12/09/2019;23/01/2025
Jessica;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Av. Cabo Alberto Reyes 145; hoteljessica.reservas@gmail.com; ;989320496;2;11;1;Áncash;Huarmey;Huarmey;20541621548;Jessica;Inversiones Trini EFM E.I.R.Ltda.;12/09/2019;23/01/2025
San Pietro;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Av. Meiggs- III Etapa - El Trapecio; ; ;994179009;2;18;1;Áncash;Santa;Chimbote;10329690909;San Pietro;Mónica Janet Mezzich Giraldo;12/09/2019;7/01/2025
Mi Estrella;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Urb.  El Trapecio - I Etapa R - 1 20;yildiz1510@hotmail.com; ;043 203214 ;2;18;1;Áncash;Santa;Chimbote;20445638600;Mi Estrella;Restaurant Mi Estrella S.A.C;12/09/2019;7/01/2025
Brilia II;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Jr. Mateo Pumacahua- Mz D Lt 5 P.J. Señor De los Milagros;hotelbrilia@hotmail.com;  ;998352360;2;18;1;Áncash;Santa;Chimbote;20602793509;Brilia II;Corporación Gume E.I.R.Ltda.;12/09/2019;7/01/2025
Iguazú;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Jr. Elías Aguirre 648 - 650 - Casco Urbano; hoteliguazuchimbote@gmail.com; ;922421224;2;18;1;Áncash;Santa;Chimbote;20600291069;Iguazú;Grupo Fabiamar E.I.R.L;12/09/2019;22/01/2025
Los Cocos;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Av. Pacífico - Mz. E Lt 1 - semi urbana; reservas@loscocos.com.pe; ; 043 312805;2;18;9;Áncash;Santa;Nuevo Chimbote;20600004035;Los Cocos;Diemitur S.R.L;12/09/2019;7/01/2025
Country Hotel;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Av. Country, Urb.El Bosque, Mz H-10,11,12. Frente al Poder Judicial ;countryhotel@hotmail.com; ;043 311881;2;18;9;Áncash;Santa;Nuevo Chimbote;20600686411;Country Hotel;Country Group S.A.C;13/09/2019;7/01/2025
Costabela;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Av. Pacífico 586 -Urb. Buenos Aires II Etapa;reservas@hotelcostabela.com;www.hotelcostabela.com;043 582712;2;18;9;Áncash;Santa;Nuevo Chimbote;20600483847;Costabela;JP Hotelería & Inversiones E.I.R.L;13/09/2019;7/01/2025
Luzanty;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Jr. Elias Aguirre 127 - 129;amparopereda30@gmail.com; ;043 346322;2;18;1;Áncash;Santa;Chimbote;10108429904;Luzanty;Amparo D. Pereda P. Vda.de Vizcaino;13/09/2019;22/01/2025
Real Chimbote;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Jr. Sáenz Peña 220;reservas.hotelrealchimbote@gmail.com; ;043 417793;2;18;1;Áncash;Santa;Chimbote;20602176631;Real Chimbote;Corporación Real Flor S.A.C;14/09/2019;22/01/2025
Sengor Hotel;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010105;H.1 Estrella;Urb. Santo Tomás A-18; hotel.sengor@gmail.com;  ;956126932;2;18;9;Áncash;Santa;Nuevo Chimbote;10329109742;Sengor Hotel;Vásquez Arévalo María Magdalena;14/09/2019;24/01/2025
Canton;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010301;Hs.3 Estrellas;Jr. Manuel Villavicencio 120;  ;   ;043 356276;2;18;1;Áncash;Santa;Chimbote;20226743236;Canton;Hostal Chifa Canton EIRL;14/09/2019;24/01/2025
Dos Flamingo´s;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Jr. Moquegua 501 (Entre Meiggs y Pardo); gerenciacermend@hotmail.com; ;960835904;2;18;1;Áncash;Santa;Chimbote;20445520781;Dos Flamingo´s;Cermend E.I.R.L;16/09/2019;30/01/2025
La Cueva del Oso;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Jr. Casma - Miramar Alto 815 - 817; ;  ;998289732;2;18;1;Áncash;Santa;Chimbote;20445468411;La Cueva del Oso;Inversiones Gambini E.I.R.L;17/09/2019;30/01/2025
Okinawa;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Jr. Micaela Bastidas Mz 18 Lte 15A San Juan; ; ;043 770498;2;18;1;Áncash;Santa;Chimbote;20602784992;Okinawa;Group International Dacasmar S.A.C;18/09/2019;30/01/2025
Le Paris;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Jr. José Balta - El Progreso 1103; leparishostal@gmail.com; ;043 346382;2;18;1;Áncash;Santa;Chimbote;10327766002;Le Paris;Leonidas César La Peña Rojas;19/09/2019;30/01/2025
Los Delfines;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Jr. Manuel Villavicencio 721;hostaldelfines721@gmail.com; ;908832973;2;18;1;Áncash;Santa;Chimbote;20605075071;Los Delfines;Inversiones Turísticas MJN E.I.Ltda.;19/09/2019;30/01/2025
Suites & Spa Elegance VIP;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Jr. Enrique Palacios 247; elegancehotelventas@gmail.com; ;998105490;2;18;1;Áncash;Santa;Chimbote;20602082351;Suites & Spa Elegance VIP;Suites & Spa Elegance VIP  SAC;8/02/2020;7/01/2025
Holiday Inn;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010102;H.4 Estrellas;Av. Guillermo Gulman 526;reservas.piupr@agrisal.com;www.holidayinn.com; 073 282400;20;1;1;Piura;Piura;Piura;20601291119;Holiday Inn;Corporación Hotelera Piura S.A.C.;18/02/2020;3/01/2025
